WGE     "WGS 84" WE 0 0 0 0 0 0 0
EUR-7   "EUROPEAN 1950, Mean (7 Param)"  IN  -102  -102  -129  0.413 -0.184  0.385    0.0000024664
OGB-7   "ORDNANCE GB 1936, Mean (7 Para)"AA   446   -99   544 -0.945 -0.261 -0.435   -0.0000208927
VN-2    "VN-2000, Vietnam (7 parameters)"WE -191.90441429 -39.30318279 -111.45032835 -0.00928836 0.01975479 -0.00427372 0.00000025290628
9999    "Custom" WE 0 0 0 0 0 0 0
